language,speakers
Guerrero Nahuatl,150000
Gujarati,56400000
Gumatj,116
Gumuz,219000
Gun,1539000
Guniyandi,100
Gunwinggu,1702
Guragone,60
Gurene,720000
Guugu Yalandji,388
Guugu Yimithirr,780
Ha,990000
Haida,90
Haitian Creole,9600000
Hakka Chinese,48200000
Haryanvi,14000000
Hausa,43900000
Hawaiian,26205
Hawaiian Pidgin,700000
Hawu,110000
Hazaragi,2221000
Hebrew,3950000
Heiltsuk-Oowekyala,90
Higaonon,30000
Hijazi Arabic,14500000
Hiligaynon,8200000
Hill Mari,30000
Hindko,5065879
Hinuq,5
Hiri Motu,180000
Hixkaryana,600
Hmong,8400000
Hodï,900
Hopi,6780
Huallaga Quechua,40000
Huambisa,8000
Huarijio,2136
Huehuetla Tepehua,1500
Hula,3240
Hungarian,12600000
Hunjara-Kaina Ke,8770
Hup,1700
Hutterite German,40000
Hän,41
Ibaloi,110000
Ibanag,400000
Ibu,35
Icelandic,321040
Igbo,27000000
Ikoma,36000
Ikpeng,500
Ili Turki,120
Ilocano,9100000
Indonesian,198996550
Inga,33000
Ingrian,120
Ingush,322900
Innu-aimun,11000
Inuktitut,39770
Iranian Persian,52800000
Irantxe,125
Irish,141000
Isconahua,82
Isthmus Zapotec,85000
Italian,64800000
Itelmen,82
Itsekiri,940000
Iñapari,4
Jagoi,29000
Jakaltek,33000
Jamaican Patois,3200000
Jamamadí,1080
Japanese,128000000
Japreria,91
Javanese,68300000
Jebero,30
Jeju,5000
Jingpho,940000
Jinnish,46900000
Jola-Fonyi,410000
Juang,30875
Juba Arabic,800000
Judeo-Tat,106000
Judeo-Yemeni Arabic,50300
Jumla Sign Language,8
Jurúna,280
Kabardian,1600000
Kabiye,1000000
Kabyle,5586000
Kadazandusun,180000
Kagate,1500
Kagayanen,30000
Kairiru,3200
Kakwa,250
Kalaktang Monpa,8000
Kalasha,5000
Kalau Lagau Ya,957
Kalkoti,6000
Kamayo,363000
Kamayurá,600
Kamba,3893000
Kambaata,890000
Kambera,240000
Kamberau,1570
Kamoro,8000
Kanakanavu,4
Kanamarí,1650
Kanashi,1400
Kangjia,1000
Kannada,43600000
Karachay-Balkar,310400
Karaim,80
Karakalpak,583410
Karanga,10000
Karaw,2000
Karelian,35600
Karipúna Creole French,1726
Karo Batak,600000
Karuk,12
Kashibo,1200
Kashmiri,6900000
Kashubian,108000
Katawixi,10
Kaulong,4000
Kavalan,70
Kaxararí,270
Kazakh,12900000
Ke'o,40000
Kelantan-Pattani Malay,1470000
Kepo',6000
Kerewe,100000
Khalaj,53900
Khaling,15000
Khalkha Mongolian,2704030
Khamti,13000
Khanty,9230
Khasi,843000
Khinalug,1000
Khmer,16600000
Khmu,480000
Kholok,2500
Khorasani Turkic,886000
Khowar,290000
Khwarshi,1740
Kibet,18500
Kiduruma,397000
Kiga,2390000
Kija,169
Kikai,13100
Kinyarwanda,12100000
Kiowa,20
Kirundi,10800000
Klallam,0
Koasati,370
Kodava,200000
Komi,219100
Komi-Zyryan,156000
Konjo,609000
Konkani,7400000
Konongo,51000
Konso,240000
Koore,159200
Korean,77300000
Korean Sign Language,180000
Koreguaje,2100
Korlai Portuguese Creole,800
Koro,1500
Koroshi,1000
Korubo,27
Koyukon,300
Krio,692000
Kristang,2200
Krobu,9920
Kuhmareyi,100000
Kukuya,38800
Kulino,32
Kumaoni,2300000
Kumbainggar,90
Kumyk,426212
Kundal Shahi,3371
Kunigami,5000
Kurdish,21000000
Kurmanji,14600000
Kurtöp,15000
Kusunda,7
Kutenai,100
Kuy,488900
Kven,2000
Kwakʼwala,500
Kwama,319
Kwanyama,247000
Kwaza,54
Kwinti,130
Kyrgyz,4568480
Laal,749
Ladakhi,14952
Lak,154820
Lakkja,9000
Lakota,2000
Lala-Bisa,580000
Lamaholot,180000
Lamas Quechua,15000
Lambadi,6000000
Lambayeque Quechua,20000
Lamboya,25000
Lango,2100000
Lani,180000
Lao,5225552
Larantuka Malay,20000
Lashi,30000
Latgalian,200000
Latundê,10
Lepcha,66500
Levantine Arabic,44000000
Lezgian,633610
Libido,64000
Liki,11
Limbu,40835
Lindu,2400
Lio,105000
Lisela,11900
Livvi-Karelian,30770
Lobi,440000
Logooli,618300
Lombard,3900000
Lotha,179467
Louisiana Creole,10000
Louisiana French,200000
Lower Sorbian,6670
Lower Tanana,15
Luba-Kasai,6300000
Ludic,3000
Luganda,4100000
Luxembourgish,79000
Ma'anyan,150000
Maale,94700
Macaguán,513
Macanese Patois,50
Machiguenga,6200
Maco,2500
Macuna,1032
Madurese,15000000
Magahi,20700000
Maguindanao,1100000
Maia,4400
Maii,180
Maisin,2600
Maithili,33900000
Majang,18500
Makwe,119700
Mala,6600
Malagasy,18138380
Malasanga,1200
Malay,77000000
Malayalam,37100000
Maldivian,340500
Malecite-Passamaquoddy,590
Maltese,482880
Malvi,10000000
Mamaindê,340
Mambai,130000
Mamuju,63000
Manado,850000
Manchu,20
Manda,25
Mansaka,58000
Mansi,938
Manx,1823
Maonan,30000
Maore,15200
Mapoyo,12
Maranao,780000
Marathi,83100000
Mari,470000
Maricopa,35
Maridan,20
Maridjabin,20
Marimanindji,15
Marind,7000
Maringarr,8
Mariyedi,20
Marranj,15
Marrithiyel,15
Marshallese,61000
Marti Ke,3
Marwari,146000
Masbateño,350000
Mashco Piro,60
Matal,18000
Matigsalug,50000
Matis,320
Matsés,2200
Maung,371
Mauritian Creole,600000
Mawayana,2
Mawé,9200
Mayo,39000
Mazanderani,3270000
Mbalanhu,200
Mbangi,2750
Mbukushu,49710
Meadow Mari,952000
Media Lengua,2600
Medny Aleut,3
Mehinaku,230
Meitei,1470000
Mekeo,19000
Menominee,35
Merwari,4000000
Mesopotamian Arabic,15700000
Mesqan,195000
Mewati,5000000
Meänkieli,70000
Mi'kmaq,8270
Michif,730
Migani,20000
Minangkabau,5530000
Mingrelian,345530
Minica Huitoto,1705
Mirandese,15000
Miriwoong,156
Miyakubo Sign Language,70
Mizo,500000
Moksha,2025
Mon,850000
Mongolia Buriat,42500
Mongolian,5200000
Monguor,152000
Mono,2940
Mooré,7600000
